BPEL,TS,ENDSYSTEM
UploadFreeMarketFeedback,ValidateUserService,LDAP
UploadFreeMarketFeedback,UploadFreeMarketFeedbackTS,IDB
UploadVehicledataService,ValidateUserService,LDAP
UploadVehicledataService,SMSVehicleTS,CRM
UploadVehicledataService,CRMModelYearTS,CRM
UpdateDocumentProperties,ValidateUserService,LDAP
UpdateDocumentProperties,UpdateDocumentPropertiesTS,CMS
RetrieveSiteList,ValidateUserService,LDAP
RetrieveSiteList,SharePointTS,CMS
CreateAuditRecord,ValidateUserService,LDAP
CreateAuditRecord,CreateAuditRecordTS,CMS
IsAuthorized,ValidateUserService,LDAP
IsAuthorized,SharePointTS,CMS
SharePoint,ValidateUserService,LDAP
SharePoint,SharePointTS,CMS
SetJobStatus,ValidateUserService,LDAP
SetJobStatus,SetJobStatusTS,Maxim
ExportEntityData,ValidateUserService,LDAP
ExportEntityData,ExportEntityDataTS,Maxim
UploadPurchaseOrderList,ValidateUserService,LDAP
UploadPurchaseOrderList,EmailSender,Email
UploadPurchaseOrderList,ExportEntityDataTS,Maxim
CreateRetailerUserService,LDAPUserSearchTrigger,LDAP
CreateRetailerUserService,LDAPUserAddTrigger,LDAP
CreateRetailerUserService,CRMTS,CRM
CreateRetailerUserService,CRMTrainingAccreditationTS,CRM
CreateRetailerUserService,LDAPUserUpdateTrigger,LDAP
CreateRetailerUserService,IntegrationDBTS,IDB
CreateRetailerUserService,MaintainRetailerUserTS,Maxim
CreateRetailerUserService,CreateTPRetailerUserTS,IDB
LDAPAuthenticationService,No Technical Services,LDAP
CreateCarConfigurationService,LDAPUserSearchTrigger,LDAP
CreateCarConfigurationService,CRMCarConfigurationTS,CRM
CreateCarConfigurationService,GetVariantTS,Maxim
UpdateRetailerAccountService,CRMAccountTS,CRM
UpdateRetailerAccountService,CRMAddressTS,CRM
CreateCarOrderService,LDAPUserSearchTrigger,LDAP
CreateCarOrderService,CreateCarOrderTS,Maxim
CreateCarOrderService,EmailSender,Email
CreateCarOrderService,CRMCarConfigurationTS,CRM
CreateWorkPackage,ValidateUserService,LDAP
CreateWorkPackage,SMSCRRCodesTS,CRM
CreateWorkPackage,SMSWorkPackageTS,CRM
CreateRetailerAccount,LDAPUserSearchTrigger,LDAP
CreateRetailerAccount,CreateRetailerAccountTS,Maxim
CreateRetailerAccount,CreateMAIRetailerAccountTS,MAXIMMAI
