JSP,ACTIONITEM,SCREEN
Resolution,Fetch Resolution Code & Causal Part,/LaunchSIS.jsp
Resolution,Close Work Package,Resolution.jsp
SearchTechnicalRequest,View / Update Attachments,/Attachments.jsp
VehicleInformationScreen,Back,/McLarenCarList.jsp
VehicleInformationScreen,View Service History,WorkPackageList.jsp
ViewMDSFeedBack,Back,ViewServiceBooking.jsp
ViewMDSFeedBack,Close,ViewMDSFeedBack.jsp
ViewServiceBooking,View / Update Work Package,WorkPackage.jsp
ViewServiceBooking,View Work Package,WorkPackage.jsp
ViewServiceBooking,Add Work Package,/WorkPackage.jsp
ViewServiceBooking,MDS Diagnostics,ViewMDSFeedBack.jsp
ViewUpdateTechnicalRequest,Attachments,Attachments.jsp
WarrantyClaimList,View / Update Work Package,/WorkPackage.jsp
WarrantyClaimList,View Work Package,/WorkPackage.jsp
WorkPackage,Back,WorkPackageList.jsp
WorkPackage,Create,Message.jsp
WorkPackage,Update,Message.jsp
WorkPackage,Add / View Attachments,WorkPackage.jsp
WorkPackage,Campaign documents,WorkPackage.jsp
WorkPackage,Submit Claim,Message.jsp
WorkPackageList,View Service Booking,ViewServiceBooking.jsp
LaunchUniDial,prerender,LaunchUniDial.jsp
LaunchUniDial,Close,PartsRequest.jsp
PartsRequest,Update Part Quantity,PartsRequest.jsp
PartsRequest,Remove Part,PartsRequest.jsp
PartsRequest,Add Parts Manually,PartsRequest.jsp
PartsRequest,Submit Order,PartsRequest.jsp
PartsRequest,Close,PartsRequest.jsp
PartsRequest,Save,PartsRequest.jsp
PartsRequest,No,PartsRequest.jsp
PartsRequest,Yes,PartsRequest.jsp
LogisticsVehicles,Search,LogisticsVehicles.jsp
Message,Close,Message.jsp
TelediagnosticsSearch,View Telediagnostics,TelediagnosticsSearch.jsp
TelediagnosticsSearch,Search,TelediagnosticsSearch.jsp
VehicleLogisticsDetailEntry,Back,LogisticsVehicles.jsp
